Year; Month; Temperature (Cel)
2012;1;5
2012;2;4
2012;3;8
2012;4;14
2012;5;18
2012;6;25
2012;7;27
2012;8;26
2012;9;23
2012;10;2
2012;11;1
2012;12;8
2013;1;7
2013;2;9
2013;3;10
2013;4;14
2013;5;20
2013;6;23
2013;7;26
2013;8;27
2013;9;22
2013;10;1
2013;11;1
2013;12;7
2014;1;9
2014;2;9
2014;3;11
2014;4;14
2014;5;18
2014;6;22
2014;7;26
2014;8;26
2014;9;22
2014;10;1
2014;11;1
2014;12;1
2015;1;7
2015;2;7
2015;3;9
2015;4;12
2015;5;19
2015;6;22
2015;7;26
2015;8;27
2015;9;24
2015;10;1
2015;11;1
2015;12;9
2016;1;6
2016;2;10
2016;3;11
2016;4;16
2016;5;18
2016;6;24
2016;7;26
2016;8;27
2016;9;23
2016;10;1
2016;11;1
2016;12;6
2017;1;4
2017;2;7
2017;3;10
2017;4;13
2017;5;18
2017;6;23
2017;7;26
2017;8;26
2017;9;23
2017;10;1
2017;11;1
2017;12;1
2018;1;8
2018;2;9
2018;3;11
2018;4;15
2018;5;20
2018;6;24
2018;7;27
2018;8;27
2018;9;23
2018;10;1
2018;11;1
2018;12;8
2019;1;8
2019;2;7
2019;3;10
2019;4;13
2019;5;19
2019;6;25
2019;7;25
2019;8;26
2019;9;22
2019;10;1
2019;11;1
2019;12;1
2020;1;7
2020;2;8
2020;3;10
2020;4;12
2020;5;17
2020;6;23
2020;7;26
2020;8;26
2020;9;24
2020;10;2
2020;11;1
2020;12;1



